epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5059,1.00817,1.26245,1.12633,0.79121,0.99848,0.92292,0.75947,0.72861,0.76648,0.97466,0.000554404,0.000554404,0.000554404
2,78.8264,0.9009,0.88452,1.0712,0.82993,0.96956,0.91839,0.75258,0.69815,0.59952,0.98192,0.00107867,0.00107867,0.00107867
3,107.11,0.86662,0.77311,1.06388,0.84958,0.91122,0.94087,0.78906,0.6731,0.55523,0.96387,0.0015715,0.0015715,0.0015715
4,137.192,0.82701,0.71637,1.03864,0.86186,0.91162,0.94459,0.7911,0.66778,0.5341,0.96146,0.00152554,0.00152554,0.00152554
5,164.413,0.79428,0.68934,1.02516,0.8439,0.94626,0.94177,0.78975,0.69475,0.5393,0.98048,0.00147839,0.00147839,0.00147839
6,191.664,0.80471,0.66321,1.03032,0.84461,0.94521,0.94358,0.78417,0.68545,0.55427,0.97286,0.00143124,0.00143124,0.00143124
7,218.867,0.74965,0.64545,1.00028,0.83383,0.96347,0.93675,0.79987,0.62689,0.47344,0.93647,0.00138409,0.00138409,0.00138409
8,246.462,0.74183,0.60089,0.99692,0.85145,0.94218,0.94612,0.78988,0.6894,0.46676,0.97432,0.00133693,0.00133693,0.00133693
9,273.576,0.73941,0.60273,0.99723,0.85567,0.94752,0.94874,0.82491,0.59667,0.43801,0.92334,0.00128978,0.00128978,0.00128978
10,301.607,0.72826,0.60481,0.99532,0.8574,0.95282,0.93921,0.80013,0.62659,0.45217,0.94071,0.00124263,0.00124263,0.00124263
11,350.771,0.71842,0.58147,0.9912,0.86832,0.9376,0.94787,0.82326,0.59571,0.43189,0.93079,0.00119548,0.00119548,0.00119548
12,408.395,0.70332,0.58124,0.97914,0.85828,0.94977,0.94692,0.82619,0.58617,0.42065,0.92082,0.00114832,0.00114832,0.00114832
13,444.408,0.7023,0.56368,0.97909,0.86726,0.9376,0.95868,0.8407,0.58902,0.41078,0.9162,0.00110117,0.00110117,0.00110117
14,471.758,0.69352,0.55668,0.97675,0.86138,0.94368,0.95018,0.83649,0.58669,0.41403,0.9134,0.00105402,0.00105402,0.00105402
15,516.39,0.66996,0.55184,0.96802,0.86077,0.94521,0.95346,0.83113,0.59689,0.4218,0.92367,0.00100687,0.00100687,0.00100687
16,559.467,0.66794,0.55923,0.96172,0.85626,0.94521,0.94775,0.82129,0.61437,0.42205,0.9316,0.000959716,0.000959716,0.000959716
17,586.586,0.65969,0.53054,0.96234,0.85939,0.94368,0.95231,0.8301,0.58874,0.41111,0.91665,0.000912563,0.000912563,0.000912563
18,615.946,0.65333,0.53672,0.9667,0.85154,0.95161,0.94472,0.83187,0.5817,0.40721,0.91501,0.000865411,0.000865411,0.000865411
19,643.176,0.65531,0.54019,0.95884,0.8495,0.95129,0.95284,0.84097,0.58845,0.4203,0.91407,0.000818259,0.000818259,0.000818259
20,670.841,0.63995,0.52821,0.95562,0.85809,0.94825,0.95305,0.84867,0.5296,0.38721,0.89237,0.000771107,0.000771107,0.000771107
21,698.104,0.63449,0.52629,0.95171,0.86357,0.93453,0.95273,0.84733,0.54275,0.38751,0.8943,0.000723954,0.000723954,0.000723954
22,725.552,0.64178,0.52544,0.95336,0.8606,0.94906,0.95342,0.85017,0.54179,0.37796,0.89367,0.000676802,0.000676802,0.000676802
23,758.987,0.61389,0.51731,0.95023,0.86568,0.94172,0.94456,0.8486,0.51297,0.37503,0.87872,0.00062965,0.00062965,0.00062965
24,791.601,0.60976,0.50892,0.94308,0.85688,0.94825,0.95612,0.86556,0.51727,0.37044,0.88413,0.000582497,0.000582497,0.000582497
25,831.491,0.59836,0.49324,0.93503,0.87001,0.9376,0.95046,0.8489,0.53119,0.37675,0.88756,0.000535345,0.000535345,0.000535345
26,868.354,0.55284,0.46144,0.89945,0.85935,0.94858,0.95837,0.85768,0.51505,0.3689,0.88357,0.000488193,0.000488193,0.000488193
27,896.685,0.55519,0.45601,0.90158,0.86085,0.94162,0.9571,0.86687,0.50891,0.36411,0.87516,0.000441041,0.000441041,0.000441041
28,927.26,0.539,0.45012,0.90309,0.85723,0.94825,0.95634,0.85736,0.51567,0.3801,0.88138,0.000393888,0.000393888,0.000393888
29,957.007,0.54268,0.44809,0.9017,0.86854,0.92513,0.95271,0.85301,0.51352,0.36884,0.88024,0.000346736,0.000346736,0.000346736
30,985.352,0.52586,0.43986,0.88915,0.85948,0.94962,0.95819,0.86344,0.5082,0.35941,0.87679,0.000299584,0.000299584,0.000299584
31,1013.4,0.51719,0.43397,0.88809,0.86376,0.94571,0.95813,0.87466,0.48711,0.35206,0.86889,0.000252431,0.000252431,0.000252431
32,1041.87,0.51145,0.4264,0.88514,0.86943,0.93607,0.95842,0.87803,0.47454,0.34899,0.8641,0.000205279,0.000205279,0.000205279
33,1077.53,0.50512,0.42603,0.88231,0.87192,0.94295,0.95496,0.86438,0.49976,0.34838,0.87219,0.000158127,0.000158127,0.000158127
34,1106.01,0.50184,0.41581,0.8823,0.86504,0.93607,0.95792,0.87216,0.48361,0.34162,0.86644,0.000110975,0.000110975,0.000110975
35,1133.92,0.49065,0.40978,0.87577,0.86304,0.93995,0.95552,0.87815,0.46628,0.33809,0.86019,6.38223e-05,6.38223e-05,6.38223e-05
